source_id,niveau,montant,unite,ordre,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
318503,2,90,%,3,actions,0,,,0,,,0,0
318516,1,5,%,1,réserve,0,,,0,,,0,0
318516,1,5,%,2,conseil d’administration,0,,,0,,,0,0
318531,1,5,%,1,réserve légale,0,,,0,,,0,0
318531,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318531,1,10,%,3,conseil,0,,,0,,,0,0
318544,1,3,%,1,réserve légale,0,,,0,,,0,0
318544,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318561,1,5,%,1,réserve légale,0,,,0,,,0,0
318561,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318561,2,80,%,3,actions,0,,,0,,,0,0
318561,2,20,%,4,conseil d’administration,0,,,0,,,0,0
318577,1,5,%,1,réserve légale,0,,,0,,,0,0
318577,2,5,%,2,intérêt aux actions,1,,,0,,,0,0
318577,3,85,%,3,actions amorties et non amorties,0,,,0,,,0,0
318577,3,5,%,4,conseil d’administration,0,,,0,,,0,0
318595,1,5,%,1,réserve légale,0,,,0,,,0,0
318609,1,5,%,1,réserve légale,0,,,0,,,0,0
318609,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
318609,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318609,2,10,%,4,conseil,0,,,0,,,0,0
318609,2,80,%,5,actions,0,,,0,,,0,0
318626,1,50,%,1,intérêt aux actions,1,,,0,,,0,0
318626,2,5,%,2,actions,1,,,0,,,0,0
318626,2,1/2,%,3,intérêt aux actions,1,,,0,,,0,0
318643,1,5,%,1,intérêt aux actions,1,,,0,,,0,0
318643,1,5,%,2,réserve légale,0,,,0,,,0,0
318660,1,5,%,1,réserve légale,0,,,0,,,0,0
318660,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
318660,2,15,%,3,conseil d’administration,0,,,0,,,0,0
318660,2,20,%,4,l’assemblée,0,,,0,,,0,0
318660,2,65,%,5,actions amorties et non amorties,0,,,0,,,0,0
318677,1,5,%,1,réserve légale,0,,,0,,,0,0
